date,people_fully_vaccinated
8/13/21,146500
8/14/21,
8/15/21,
8/16/21,147128
8/17/21,
8/18/21,
8/19/21,
8/20/21,
8/21/21,
8/22/21,
8/23/21,153840
8/24/21,
8/25/21,155688
8/26/21,158557
8/27/21,159460
8/28/21,
8/29/21,
8/30/21,160649
8/31/21,161022
9/1/21,
9/2/21,
9/3/21,166763
9/4/21,
9/5/21,
9/6/21,
9/7/21,169209
9/8/21,170125
9/9/21,172155
9/10/21,
9/11/21,
9/12/21,
9/13/21,
9/14/21,175037
9/15/21,
9/16/21,176695
9/17/21,
9/18/21,
9/19/21,
9/20/21,179115
9/21/21,
9/22/21,
9/23/21,181862
9/24/21,
9/25/21,
9/26/21,
9/27/21,184072
9/28/21,
9/29/21,185972
9/30/21,
10/1/21,
10/2/21,
10/3/21,
10/4/21,
10/5/21,212477
10/6/21,215553
10/7/21,218120
10/8/21,220017
10/9/21,
10/10/21,
10/11/21,
10/12/21,225050
10/13/21,226649
10/14/21,
10/15/21,
10/16/21,
10/17/21,
10/18/21,
10/19/21,
10/20/21,233391
10/21/21,235081
10/22/21,
10/23/21,
10/24/21,
10/25/21,237997
10/26/21,
10/27/21,
10/28/21,241211
10/29/21,
10/30/21,
10/31/21,
11/1/21,244322
11/2/21,245932
11/3/21,247822
11/4/21,
11/5/21,249557
11/6/21,
11/7/21,
11/8/21,
11/9/21,253938
11/10/21,255650
11/11/21,257196
11/12/21,258864
11/13/21,
11/14/21,
11/15/21,261811
11/16/21,263455
11/17/21,264851
11/18/21,266127
11/19/21,267421
11/20/21,
11/21/21,
11/22/21,
11/23/21,
11/24/21,271206
11/25/21,
11/26/21,275126
11/27/21,
11/28/21,
11/29/21,276888
11/30/21,278058
12/1/21,279658
12/2/21,280637
12/3/21,
12/4/21,
12/5/21,
12/6/21,282567
12/7/21,283505
12/8/21,
12/9/21,
12/10/21,
12/11/21,
12/12/21,
12/13/21,
12/14/21,286437
12/15/21,
12/16/21,
12/17/21,
12/18/21,289726
12/19/21,
12/20/21,
12/21/21,
12/22/21,
12/23/21,
12/24/21,
12/25/21,
12/26/21,
12/27/21,
12/28/21,
12/29/21,294160
12/30/21,
12/31/21,
1/1/22,295325
1/2/22,
1/3/22,
1/4/22,
1/5/22,
1/6/22,
1/7/22,
1/8/22,
1/9/22,
1/10/22,
1/11/22,
1/12/22,
1/13/22,
1/14/22,303373
1/15/22,
1/16/22,
1/17/22,
1/18/22,
1/19/22,
1/20/22,
1/21/22,306831
1/22/22,
1/23/22,
1/24/22,
1/25/22,
1/26/22,
1/27/22,
1/28/22,311796
1/29/22,
1/30/22,
1/31/22,312874
2/1/22,
2/2/22,314960
2/3/22,
2/4/22,
2/5/22,
2/6/22,
2/7/22,
2/8/22,
2/9/22,319596
2/10/22,
2/11/22,320221
2/12/22,
2/13/22,
2/14/22,
2/15/22,
2/16/22,322465
2/17/22,
2/18/22,
2/19/22,324175
2/20/22,
2/21/22,
2/22/22,
2/23/22,325696
2/24/22,
2/25/22,326375
2/26/22,326867
2/27/22,
2/28/22,
3/1/22,328273
3/2/22,
3/3/22,
3/4/22,330026
3/5/22,
3/6/22,
3/7/22,331267
3/8/22,
3/9/22,
3/10/22,331703
3/11/22,356238
3/12/22,
3/13/22,
3/14/22,
3/15/22,
3/16/22,358633
3/17/22,
3/18/22,359317
3/19/22,
3/20/22,
3/21/22,
3/22/22,
3/23/22,360370
3/24/22,
3/25/22,360587
3/26/22,
3/27/22,
3/28/22,
3/29/22,
3/30/22,361166
3/31/22,
4/1/22,361683
4/2/22,
4/3/22,
4/4/22,
4/5/22,
4/6/22,
4/7/22,
4/8/22,362605
4/9/22,
4/10/22,
4/11/22,
4/12/22,
4/13/22,
4/14/22,
4/15/22,363237
4/16/22,
4/17/22,
4/18/22,
4/19/22,
4/20/22,
4/21/22,
4/22/22,363774
4/23/22,
4/24/22,
4/25/22,
4/26/22,
4/27/22,
4/28/22,
4/29/22,364336
4/30/22,
5/1/22,
5/2/22,
5/3/22,
5/4/22,
5/5/22,
5/6/22,365149
5/7/22,
5/8/22,
5/9/22,
5/10/22,
5/11/22,
5/12/22,
5/13/22,365799
5/14/22,
5/15/22,
5/16/22,
5/17/22,
5/18/22,
5/19/22,
5/20/22,366271
5/21/22,
5/22/22,
5/23/22,
5/24/22,
5/25/22,
5/26/22,
5/27/22,
5/28/22,
5/29/22,
5/30/22,
5/31/22,
6/1/22,
6/2/22,
6/3/22,367326
6/4/22,
6/5/22,
6/6/22,
6/7/22,
6/8/22,367808
6/9/22,
6/10/22,
6/11/22,
6/12/22,
6/13/22,
6/14/22,
6/15/22,368100
6/16/22,
6/17/22,368375
6/18/22,
6/19/22,
6/20/22,
6/21/22,
6/22/22,368450
6/23/22,
6/24/22,
6/25/22,
6/26/22,
6/27/22,
6/28/22,
6/29/22,
6/30/22,
7/1/22,
7/2/22,
7/3/22,
7/4/22,
7/5/22,
7/6/22,
7/7/22,
7/8/22,
7/9/22,
7/10/22,
7/11/22,
7/12/22,
7/13/22,
7/14/22,
7/15/22,
7/16/22,
7/17/22,
7/18/22,
7/19/22,
7/20/22,
7/21/22,
7/22/22,
7/23/22,
7/24/22,
7/25/22,
7/26/22,
7/27/22,
7/28/22,
7/29/22,
7/30/22,
7/31/22,
8/1/22,
8/2/22,
8/3/22,
8/4/22,
8/5/22,
8/6/22,
8/7/22,
8/8/22,
8/9/22,
8/10/22,
8/11/22,
8/12/22,
8/13/22,
8/14/22,
8/15/22,
